iter	Passed	Remaining
691	10757	4788
692	10759	4766
693	10761	4744
694	10762	4723
695	10764	4701
696	10766	4680
697	10768	4659
698	10769	4637
699	10771	4616
700	10773	4595
701	10774	4573
702	10776	4552
703	10778	4531
704	10779	4510
705	10782	4490
706	10784	4469
707	10785	4448
708	10787	4427
709	10789	4406
710	10791	4386
711	10793	4365
712	10797	4346
713	10798	4325
714	10800	4305
715	10802	4284
716	10804	4264
717	10806	4244
718	10807	4223
719	10809	4203
720	10812	4184
721	10814	4164
722	10816	4144
723	10818	4124
724	10820	4104
725	10822	4084
726	10823	4064
727	10826	4045
728	10829	4025
729	10831	4006
730	10832	3986
731	10834	3966
732	10835	3947
733	10837	3927
734	10838	3907
735	10840	3888
736	10843	3869
737	10845	3850
738	10847	3830
739	10848	3811
740	10850	3792
741	10851	3773
742	10853	3754
743	10857	3735
744	10859	3716
745	10860	3697
746	10862	3678
747	10864	3660
748	10865	3641
749	10867	3622
750	10868	3603
751	10872	3585
752	10874	3567
753	10875	3548
754	10877	3529
755	10879	3511
756	10881	3492
757	10882	3474
758	10884	3456
759	10888	3438
760	10890	3420
761	10891	3401
762	10893	3383
763	10895	3365
764	10896	3347
765	10898	3329
766	10900	3311
767	10903	3293
768	10905	3275
769	10906	3257
770	10908	3240
771	10910	3222
772	10911	3204
773	10913	3186
774	10914	3168
775	10918	3151
776	10921	3134
777	10924	3117
778	10926	3099
779	10928	3082
780	10930	3065
781	10935	3048
782	10937	3031
783	10939	3013
784	10940	2996
785	10942	2979
786	10943	2961
787	10945	2944
788	10950	2928
789	10951	2911
790	10953	2894
791	10955	2877
792	10956	2860
793	10958	2843
794	10960	2826
795	10961	2809
796	10965	2792
797	10967	2776
798	10968	2759
799	10970	2742
800	10971	2725
801	10973	2709
802	10975	2692
803	10976	2675
804	10980	2659
805	10982	2643
806	10984	2626
807	10986	2610
808	10988	2594
809	10990	2577
810	10991	2561
811	10995	2545
812	10996	2529
813	10998	2513
814	11000	2497
815	11001	2480
816	11003	2464
817	11005	2448
818	11006	2432
819	11009	2416
820	11012	2400
821	11014	2385
822	11016	2369
823	11018	2353
824	11019	2337
825	11022	2321
826	11025	2306
827	11027	2290
828	11029	2274
829	11030	2259
830	11032	2243
831	11034	2228
832	11036	2212
833	11038	2197
834	11041	2181
835	11043	2166
836	11044	2150
837	11046	2135
838	11047	2120
839	11049	2104
840	11051	2089
841	11052	2074
842	11056	2059
843	11058	2043
844	11059	2028
845	11061	2013
846	11063	1998
847	11064	1983
848	11066	1968
849	11070	1953
850	11073	1938
851	11075	1923
852	11077	1908
853	11078	1894
854	11080	1879
855	11082	1864
856	11083	1849
857	11086	1834
858	11089	1820
859	11090	1805
860	11092	1790
861	11094	1776
862	11096	1761
863	11098	1746
864	11102	1732
865	11104	1718
866	11106	1703
867	11108	1689
868	11110	1674
869	11112	1660
870	11113	1646
871	11118	1632
872	11120	1617
873	11121	1603
874	11123	1589
875	11124	1574
876	11126	1560
877	11127	1546
878	11131	1532
879	11134	1518
880	11136	1504
881	11137	1490
882	11139	1476
883	11141	1461
884	11142	1447
885	11144	1433
886	11147	1420
887	11149	1406
888	11151	1392
889	11152	1378
890	11154	1364
891	11156	1350
892	11157	1336
893	11159	1323
894	11163	1309
895	11164	1295
896	11166	1282
897	11167	1268
898	11169	1254
899	11171	1241
900	11172	1227
901	11174	1214
902	11179	1200
903	11180	1187
904	11182	1173
905	11184	1160
906	11186	1147
907	11188	1133
908	11190	1120
909	11194	1107
910	11196	1093
911	11198	1080
912	11200	1067
913	11202	1054
914	11203	1040
915	11205	1027
916	11210	1014
917	11212	1001
918	11213	988
919	11215	975
920	11217	962
921	11218	949
922	11220	936
923	11224	923
924	11226	910
925	11228	897
